Community,SASAPRegions,NAMELSAD,region,Reg_corp,County,LAT,LONG,Urban
Emmonak,Yukon,Emmonak city,Yukon,Calista,Kusilvak,62.7755898,-164.5092895,0
English Bay,Cook Inlet,,,,,,,0
Eska,Cook Inlet,,,,,,,0
Ester,Yukon,Ester CDP,Yukon,Doyon,Fairbanks North Star,64.879056,-148.0411534,0
Eureka Roadhouse,Copper River,Eureka Roadhouse CDP,Copper River,Ahtna,Matanuska-Susitna,61.9585075,-147.1551042,0
Evans Island,Prince William Sound,,,,,,,0
Evansville,Yukon,Evansville CDP,Yukon,Doyon,Yukon-Koyukuk,66.9329734,-151.3689287,0
Excursion Inlet,Southeast,Excursion Inlet CDP,Southeast,Sealaska,Haines,58.4151348,-135.3455188,0
Eyak,Prince William Sound,,,,,,,0
Fairbanks,Yukon,Fairbanks city,Yukon,Doyon,Fairbanks North Star,64.8365307,-147.6517447,1
Falls Bay,Prince William Sound,,,,,,,0
False Pass,Alaska Peninsula and Aleutian Islands,False Pass city,Aleutian Islands,Aleut,Aleutians East,54.8724411,-163.3342679,0
Farewell,Yukon,,,,,,,0
Farm Loop,Cook Inlet,Farm Loop CDP,Cook Inlet,Cook Inlet,Matanuska-Susitna,61.6384559,-149.1340427,0
Farmers Loop,Yukon,Farmers Loop CDP,Yukon,Doyon,Fairbanks North Star,64.908224,-147.6986608,0
Ferry,Yukon,Ferry CDP,Yukon,Doyon,Denali,64.0496203,-148.9206018,0
Fire Island,Cook Inlet,,,,,,,1
Fire Lake,Cook Inlet,,,,,,,1
Fishhook,Cook Inlet,Fishhook CDP,Cook Inlet,Cook Inlet,Matanuska-Susitna,61.7312301,-149.283619,0
Flat,Yukon,Flat CDP,Yukon,Doyon,Yukon-Koyukuk,62.4413674,-158.0405325,0
Fort Greely,Yukon,Fort Greely CDP,Yukon,Doyon,Southeast Fairbanks,63.8995983,-145.5952515,0
Fort Richardson,Cook Inlet,,,,,,,1
Fort Wainwright,Yukon,,,,,,,1
Fort Yukon,Yukon,Fort Yukon city,Yukon,Doyon,Yukon-Koyukuk,66.5884097,-145.227636,0
Fortuna Ledge,Yukon,,,,,,,0
Four Mile Road,Yukon,Four Mile Road CDP,Yukon,Doyon,Yukon-Koyukuk,64.6042335,-149.1152638,0
Fox,Yukon,Fox CDP,Yukon,Doyon,Fairbanks North Star,64.974859,-147.6090061,0
Fox River,Cook Inlet,Fox River CDP,Cook Inlet,Cook Inlet,Kenai Peninsula,59.8945046,-151.0070443,0
Freshwater Bay,Southeast,,,,,,,0
Fritz Creek,Cook Inlet,Fritz Creek CDP,Cook Inlet,Cook Inlet,Kenai Peninsula,59.7468664,-151.2886074,0
Funny River,Cook Inlet,Funny River CDP,Cook Inlet,Cook Inlet,Kenai Peninsula,60.4844371,-150.7896585,0
Funter Bay,Southeast,,,,,,,0
Gakona,Copper River,Gakona CDP,Copper River,Ahtna,Valdez-Cordova,62.3607816,-145.2656691,0
Galena,Yukon,Galena city,Yukon,Doyon,Yukon-Koyukuk,64.7414053,-156.8734198,0
Gambell,Norton Sound,Gambell city,Norton Sound,Bering Straits,Nome,63.7665946,-171.7329698,0
Game Creek,Southeast,Game Creek CDP,Southeast,Sealaska,Hoonah-Angoon,58.0501048,-135.5125475,0
Gateway,Cook Inlet,Gateway CDP,Cook Inlet,Cook Inlet,Matanuska-Susitna,61.5665726,-149.2230378,0
Girdwood,Cook Inlet,,,,,,,1
Glacier View,Cook Inlet,Glacier View CDP,Cook Inlet, ,Matanuska-Susitna,61.8479883,-147.7725933,0
Glennallen,Copper River,Glennallen CDP,Copper River,Ahtna,Valdez-Cordova,62.1473147,-145.8361703,0
Goldstream,Yukon,Goldstream CDP,Yukon,Doyon,Fairbanks North Star,64.951999,-147.9706022,0
Golovin,Norton Sound,Golovin city,Norton Sound,Bering Straits,Nome,64.5639018,-162.9989429,0
Goodnews Bay,Kuskokwim,Goodnews Bay city,Kuskokwim,Calista,Bethel,59.1271649,-161.575325,0
Goose Bay,Cook Inlet,,,,,,,0
Graekl-Hamilton Acres,Yukon,,,,,,,0
Grayling,Yukon,Grayling city,Yukon,Doyon,Yukon-Koyukuk,62.8960454,-160.11302,0
Gulkana,Copper River,Gulkana CDP,Copper River,Ahtna,Valdez-Cordova,62.2151827,-145.4448865,0
Gulkana Airport,Copper River,,,,,,,0
Gulkana Reservation,Copper River,,,,,,,0
Gustavus,Southeast,Gustavus city,Southeast,Sealaska,Hoonah-Angoon,58.4344663,-135.7282416,0
Haines,Southeast,Haines CDP,Southeast,Sealaska,Haines,59.2604324,-135.4721657,0
Halibut Cove,Cook Inlet,Halibut Cove CDP,Cook Inlet,Cook Inlet,Kenai Peninsula,59.5695806,-151.2237642,0
Hamilton,Yukon,,,,,,,0
Happy Harbor,Southeast,,,,,,,0
Happy Valley,Cook Inlet,Happy Valley CDP,Cook Inlet,Cook Inlet,Kenai Peninsula,59.9104435,-151.6081787,0
Harding Lake,Yukon,,,,,,,1
Harding-Birch Lakes,Yukon,Harding-Birch Lakes CDP,Yukon,Doyon,Fairbanks North Star,64.3813051,-146.5306007,0
Hawk Inlet,Southeast,,,,,,,0
Haycock,Norton Sound,,,,,,,0
Healy,Yukon,Healy CDP,Yukon,Doyon,Denali,63.9596321,-148.9708423,0
Healy Lake,Yukon,Healy Lake CDP,Yukon,Doyon,Southeast Fairbanks,64.010439,-144.6786618,0
Herring Cove,Yukon,,,,,,,1
